eventId;firPlace;eventType;eventTitleFemale0;teamQnt;prizeUSD;maxPrizeUSD;endDate
3392;125000;Intl. LAN;False;16;300000;300000;2018-07-08
3801;1000;Online;False;8;1500;1500;2018-06-04
3428;50000;Intl. LAN;False;8;100000;100000;2018-07-14
3759;70000;Intl. LAN;False;8;50000;1000000;2018-07-13
3824;7000;Online;False;8;10000;10000;2018-08-30
3687;16650;Online;False;27;37000;37000;2018-09-05
3375;0;Online;False;12;0;0;2018-11-14
3688;16650;Online;False;24;37000;37000;2018-07-26
3374;0;Online;False;14;0;0;2018-11-14
3300;0;asd;False;3.0;0.0;0;1999-11-30
3739;7000;Online;False;16.0;10000.0;10000;2018-07-15
3871;2900;Online;False;4.0;5800.0;5800;2018-07-07
3221;9928;asd;False;3.0;20000.0;20000;1999-11-30
3203;2078;asd;False;2.0;3225.0;3225;1999-11-30
3786;18250;Reg. LAN;False;52.0;33450.0;33450;2018-08-05
1621;50000;Intl. LAN;False;4.0;100000.0;100000;2015-09-27
1738;0;Online;False;4.0;0.0;0;2015-09-04
1768;23935;Online;False;12.0;50000.0;50000;2015-05-21
1950;1250;Online;False;4.0;2000.0;2000;2015-09-29
1895;2973;Online;False;8.0;6123.0;6123;2015-09-28
1945;0;Intl. LAN;False;4.0;0.0;0;2015-09-27
1693;0;Intl. LAN;False;16.0;0.0;0;2015-09-26
1919;3640;Online;False;8.0;5300.0;5300;2015-09-02
1948;1250;Online;False;4.0;2000.0;2000;2015-09-24
1890;70298;Online;False;24.0;150000.0;150000;2015-09-24
1946;1250;Online;False;4.0;2000.0;2000;2015-09-22
1936;0;Online;False;8.0;0.0;0;2015-09-22
1947;0;Online;False;8.0;0.0;0;2015-09-21
1900;315;Online;False;8.0;500.0;500;2015-08-26
1763;20000;Intl. LAN;False;8.0;40000.0;40000;2015-09-20
1935;0;Online;False;8.0;0.0;0;2015-09-19
1944;0;Online;False;16.0;0.0;0;2015-09-18
1940;0;Online;False;8.0;0.0;0;2015-09-18
1941;0;Online;False;4.0;0.0;0;2015-09-17
1938;0;Online;False;9.0;0.0;0;2015-09-16
1933;0;Online;False;4.0;0.0;0;2015-09-15
1925;2500;Other;False;4.0;0.0;0;2015-09-15
1932;0;Online;False;5.0;0.0;0;2015-09-14
1837;5582;Online;False;16.0;10000.0;10000;2015-07-06
1931;0;Online;False;8.0;0.0;0;2015-09-13
1916;8568;Online;False;9.0;15000.0;15000;2015-09-13
1915;0;Intl. LAN;False;6.0;0.0;0;2015-09-13
1882;100000;Intl. LAN;False;8.0;250000.0;250000;2015-09-12
1920;0;Online;False;8.0;0.0;0;2015-09-11
1901;14260;Online;False;12.0;25000.0;25000;2015-09-11
1930;1250;Online;False;4.0;2000.0;2000;2015-09-10
1927;1250;Online;False;4.0;2000.0;2000;2015-09-08
1764;30000;Intl. LAN;False;8.0;50000.0;50000;2015-09-08
1911;1039;Online;False;8.0;1500.0;1500;2015-09-08
1926;1116;Online;False;100.0;0.0;0;2015-09-06
1918;0;Online;False;12.0;0.0;0;2015-09-06
1914;0;Online;False;500.0;0.0;0;2015-09-06
